Subject,Singular or plural,Verb singular,Verb plural,Antecedent general,Antecedent singular,Antecedent plural,Misc - figure out later
tonality,s,is,are,a way of greeting,a turtle,divided into castes,worn on the body
video feedback,s,,,unclean,the redeemer,found in groups of four,destroyer of teeth
c#,s,,,forbidden,a mask of the diety,,another aspect of [ other subject ] 
trombones,p,,,the doorway to enlightenment,one of the six mysteries,,destiny?
whale song,s,,,a sign of friendship,a sacred cow,,imbued with a spirit
diffraction,s,,,the enemy,,,face with tears of joy
autotune,s,,,the origin of the universe,,,
the drone,s,,,used in mating rituals,,,
silence,s,,,the basis of common dance,,,
duets,p,,,found only when both moons are full,,,
kaleidoscopes,p,,,for private use only,,,
illusions,p,,,utilitarian,,,
reverb,s,,,out of fashion,,,
whispers,p,,,considered relaxing,,,
mirrors,p,,,greatly missed,,,
microphones,p,,,hidden underground,,,
the overtone series,s,,,used for healing,,,
synchresis,s,,,a sign of the end times,,,
strobing,s,,,bartered for goods,,,
collages,p,,,a prehistoric secret,,,
cameras,p,,,rare and valuable,,,
right angles,p,,,an indication of prosperity,,,
serif fonts,p,,,regarded with suspicion,,,
runes,p,,,tied to the motion of the planets,,,
holograms,p,,,endangered,,,
radio,s,,,unsustainable,,,
improvisation,s,,,unheard of,,,
primary colors,p,,,used only by other species,,,
gradients,p,,,not yet discovered,,,
projection mapping,s,,,performed in isolation,,,
lofi recordings,p,,,allocated by lottery,,,
long durations,p,,,the hallmark of the trickster,,,
dream sequences,p,,,a rite of passage,,,
nouveau shamanism,s,,,an intoxicant,,,
abstraction,s,,,used to give directions,,,
erotic poetry,s,,,the language of undersea minerals,,,
good taste,s,,,a metaphor for birth,,,
recursion,s,,,familiar to a handful of matriarchs ,,,
repetition,s,,,the secret of the mystics,,,
funky bass,s,,,found within obelisks,,,
4D animation,s,,,used to battle hideous birds,,,
labyrinths,p,,,politically risky,,,
machine learning,s,,,broadcast into the desert,,,
reflective clothing,s,,,used in divination,,,
cyborgian sense enhancements,p,,,,,,
geometric masks,p,,,,,,
aesthetics,p,,,,,,
